"State or Nation","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of low risk long stay residents who lose control of their bowels or bladder","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to move independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of high risk long stay residents with pressure ulcers","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who made improvements in function","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
NATION,9.6,4.9,9.1,4.4,8.5,4.3,83.0,2.29,0.88,0.66807,1.55,3.83737,3.35315,0.46,0.07,48.8,45.5,0.6,1.35608,0.66435,3.81602,3.33449,1.7,37827,14.132348,5.807649,48.549600,1.287765,2.004204,9.136920,0.136807,3.337443,92.984238,14.685128,81.070836,1.700488,15.334538,19.828867,7.846335,94.947460,76.757423,77.321025,23.151112,12.214090,1.720334,1.652897,2024-10-01
AK,7.6,4.2,8.2,6.8,9.4,7.8,36.8,4.22,0.72,2.15047,2.87,7.09344,6.13148,1.57,0.08,46.7,42.2,0.3,1.29826,0.63958,3.67374,3.21017,1.8,32939,13.842748,6.526337,41.663249,1.432569,2.792480,4.575546,0.078947,4.526830,97.077573,17.658815,83.760546,0.795490,18.366430,16.622294,8.928272,97.887033,80.852506,74.512346,19.018400,13.303430,1.123771,1.498826,2024-10-01
AL,3.4,3.4,3.0,3.3,3.8,3.2,95.7,2.46,0.81,0.60125,1.41,3.86755,3.19727,0.33,0.04,49.1,42.1,0.5,1.23276,0.60731,3.48840,3.04821,0.8,11855,12.178572,6.162245,42.857826,1.555861,3.057801,1.052061,0.621200,3.304975,92.903004,20.510545,83.486173,2.008615,14.095574,24.252409,8.577385,94.932438,75.129261,79.413377,24.393145,12.955037,1.788046,1.649544,2024-10-01
AR,8.0,2.2,8.3,1.9,8.8,2.0,74.7,2.67,0.97,0.40500,1.38,4.04894,3.40411,0.28,0.02,51.9,46.6,0.6,1.21966,0.60086,3.45133,3.01582,0.7,10290,11.277042,5.535696,41.454648,1.125073,1.792720,1.714903,0.086675,3.875373,94.069390,11.076357,78.737084,1.459055,10.796151,22.067811,8.308777,95.333899,80.465340,71.931916,24.461894,14.040018,1.996646,2.078837,2024-10-01
AZ,5.5,1.8,8.2,3.1,7.0,3.1,80.9,2.30,1.05,0.71534,1.77,4.06338,3.56203,0.50,0.11,48.4,46.8,0.5,1.41489,0.69704,4.00378,3.49856,0.6,6296,11.091613,5.736489,58.001008,1.291380,1.445889,4.423982,0.245903,1.978333,96.767805,10.679018,90.802971,0.957659,16.378716,20.305670,8.714844,93.864937,77.989887,85.989848,23.737545,11.210813,1.741027,1.392172,2024-10-01
CA,16.6,7.5,16.5,7.2,14.3,6.8,85.7,2.59,1.23,0.60068,1.83,4.42058,3.98844,0.46,0.09,41.1,42.5,0.6,1.47752,0.72790,4.18101,3.65342,2.2,26657,8.191241,4.835548,35.176146,1.304857,1.416239,6.072172,0.285658,1.690304,98.315149,10.990403,94.225723,1.476851,10.736007,13.508615,7.424884,98.213288,81.812695,92.395987,22.705969,11.065578,2.016953,1.409998,2024-10-01
CO,8.7,7.0,7.6,6.0,7.6,6.1,70.1,2.22,0.70,0.85022,1.55,3.77729,3.31860,0.62,0.08,54.6,51.9,0.8,1.29383,0.63740,3.66120,3.19921,2.8,37398,14.511667,6.094824,47.036554,1.090843,1.613190,4.999873,0.076412,3.494796,90.083543,18.185727,75.245378,1.574658,15.686366,11.151174,5.263510,93.793238,78.756732,72.660730,18.737296,12.907431,1.257024,1.632975,2024-10-01
CT,10.7,4.5,8.4,2.8,8.6,2.5,99.8,2.21,0.83,0.70814,1.54,3.74998,3.34290,0.47,0.08,39.2,40.1,0.5,1.30951,0.64513,3.70558,3.23799,1.5,27311,17.408380,6.882114,45.383686,0.966123,1.863692,9.961310,0.020619,3.616743,87.127223,17.211864,65.812007,1.518386,20.200511,17.077452,6.249493,92.899636,75.629434,64.350399,25.254925,11.524603,1.924500,1.448547,2024-10-01
DC,16.3,2.0,20.5,2.4,14.2,2.4,119.8,2.58,0.67,1.73054,2.40,4.98328,4.41421,1.41,0.09,31.6,33.4,0.9,1.50443,0.74115,4.25714,3.71995,2.8,140854,16.737230,5.076703,62.054334,1.358610,2.066793,2.160830,0.597764,0.820067,92.967956,5.379905,68.937897,1.343792,19.542112,11.069005,13.947943,97.381683,68.144041,73.294505,20.971611,6.495695,1.014986,0.566441,2024-10-01
DE,11.7,1.4,10.3,1.0,13.4,1.0,87.8,2.47,1.02,1.06116,2.08,4.54763,4.00984,0.74,0.10,47.8,44.3,0.6,1.33413,0.65725,3.77525,3.29886,1.2,47360,13.900528,6.501914,54.765939,0.793477,1.933688,5.025986,0.249176,2.822994,93.009076,9.810812,79.452165,1.040628,17.935581,19.213211,5.713261,96.829551,80.219537,82.016468,22.289358,10.360844,1.610759,1.168171,2024-10-01
